lugar,fecha,latitud,longitud,profundidad,magnitud
48 km al SO de Los Vilos,2022-05-04 04:07:59,-32.226,-71.858,30 km,2.8 Ml
51 km al SO de Los Vilos,2022-05-04 04:01:49,-32.228,-71.902,24 km,3.3 Ml
45 km al SO de Los Vilos,2022-05-04 03:56:28,-32.242,-71.792,41 km,2.8 Ml
50 km al SO de Los Vilos,2022-05-04 03:52:40,-32.25,-71.856,18 km,3.1 Ml
48 km al SO de Los Vilos,2022-05-04 03:48:50,-32.225,-71.869,29 km,3.7 Ml
53 km al SO de Los Vilos,2022-05-04 03:45:59,-32.249,-71.907,31 km,5.0 Mw
43 km al O de Lebu,2022-05-04 02:25:47,-37.782,-74.098,38 km,3.2 Ml
40 km al SO de Alto Hospicio,2022-05-04 01:19:27,-20.525,-70.372,33 km,2.6 Ml
42 km al O de Mina Collahuasi,2022-05-04 00:55:23,-20.873,-69.058,107 km,3.4 Ml
37 km al NO de Cami̱a,2022-05-04 00:20:20,-19.125,-69.717,94 km,3.6 Ml
